character,action,zeroindex
17,322,False
17,323,True
17,324,False
17,29,True
17,42,True
17,14,True
17,15,False
17,16,False
17,18,False
17,20,False
17,67,False
17,0,False
17,12,True
17,13,True
17,27,True
17,69,False
17,74,True
17,80,False
17,182,False
17,179,False
17,181,True
17,180,True
17,251,True
17,252,False
17,253,True
17,262,False
17,263,False
17,44,False
17,178,False
17,234,False
17,39,False
17,244,True
17,56,False
17,24,True
17,25,True
17,66,False
17,68,False
17,73,True
17,21,True
17,72,True
17,17,False
17,65,False
17,63,False
17,28,True
17,357,False
17,35,True
17,43,True
17,356,False
17,212,True
17,353,False
17,350,False
17,26,True
17,236,False
17,40,True
17,60,False
17,341,False
17,53,False
17,358,False
17,114,False
17,86,False
17,70,True
17,57,False
17,50,False
