character,action,zeroindex
16,322,False
16,323,True
16,324,False
16,29,True
16,42,True
16,344,False
16,345,False
16,346,True
16,14,True
16,24,True
16,25,True
16,353,False
16,350,False
16,20,False
16,27,True
16,347,False
16,349,True
16,80,False
16,65,False
16,70,True
16,21,True
16,23,True
16,351,False
16,39,False
16,358,False
16,18,False
16,94,False
16,15,False
16,16,False
16,359,False
16,19,False
16,98,False
16,17,False
16,40,True
16,102,False
16,28,True
16,41,True
16,113,False
16,88,False
16,191,True
16,192,False
16,196,False
