character,action,zeroindex
23,322,False
23,323,False
23,324,False
23,29,False
23,42,False
23,24,False
23,66,False
23,27,False
23,368,False
23,252,False
23,253,False
23,236,False
23,43,False
23,14,False
23,20,False
23,18,False
23,25,False
23,16,False
23,17,False
23,26,False
23,44,False
23,178,False
23,179,False
23,65,False
23,234,False
23,15,False
23,71,False
23,212,False
23,213,False
23,216,True
23,218,True
23,221,False
23,68,False
23,73,False
23,53,False
23,56,False
23,28,False
23,69,False
23,74,False
23,80,False
23,88,False
23,181,True
23,85,False
23,21,False
23,262,False
23,263,False
23,39,False
23,244,True
23,233,False
23,245,False
23,246,False
23,60,False
23,345,False
23,346,False
23,347,False
23,0,False
