character,action,zeroindex
23,322,False
23,323,False
23,324,False
23,29,False
23,42,False
23,15,False
23,24,False
23,43,False
23,27,False
23,66,False
23,71,False
23,178,False
23,179,False
23,234,False
23,233,False
23,14,False
23,26,False
23,236,False
23,16,False
23,20,False
23,21,False
23,17,False
23,60,False
23,50,False
23,65535,False
23,18,False
23,25,False
23,53,False
23,181,True
23,68,False
23,73,False
23,56,False
23,23,False
23,85,False
23,39,False
23,212,False
23,252,False
23,253,False
23,69,False
23,74,False
23,87,False
23,183,False
23,35,False
23,244,True
23,88,False
23,371,False
23,369,False
23,77,False
23,235,False
23,38,False
23,63,False
23,182,False
23,28,False
23,90,False
23,199,False
23,370,True
23,180,False
23,226,False
23,223,False
23,224,True
23,239,False
23,86,False
23,368,False
23,358,False
23,89,False
23,213,False
23,216,True
23,221,False
23,214,False
23,44,False
23,222,False
23,40,False
23,41,False
23,2,False
23,12,False
23,13,False
23,67,False
23,241,False
23,76,False
23,80,False
23,79,False
23,82,False
23,65,False
23,219,False
23,367,False
23,32,False
23,372,True
