character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,True
10,20,False
10,21,False
10,24,False
10,25,False
10,69,False
10,74,False
10,57,False
10,41,False
10,60,False
10,14,False
10,18,False
10,23,False
10,53,False
10,76,False
10,44,False
10,80,False
10,90,False
10,183,False
10,186,False
10,64,False
10,79,False
10,82,False
10,226,False
10,227,True
10,228,True
10,241,False
10,184,False
10,188,False
10,77,False
10,87,False
10,193,False
10,66,False
10,86,False
10,89,False
10,191,False
10,192,False
10,196,False
10,26,False
10,65,False
10,70,False
10,347,False
10,348,False
10,349,False
10,50,False
10,56,False
10,45,False
10,47,False
10,48,False
10,67,False
10,72,False
10,341,False
10,342,False
10,343,False
10,15,False
10,16,False
10,28,False
10,344,False
10,345,False
