character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,True
10,14,False
10,341,False
10,342,False
10,343,False
10,24,False
10,25,False
10,344,False
10,345,False
10,15,False
10,16,False
10,20,False
10,21,False
10,69,False
10,74,False
10,39,False
10,40,False
10,360,False
10,364,True
10,361,False
10,363,False
10,244,True
10,347,False
10,348,False
10,349,False
10,18,False
10,50,False
10,56,False
10,68,False
10,73,False
10,26,False
10,67,False
10,72,False
10,28,False
10,354,False
10,356,False
10,358,False
10,357,False
10,178,False
10,180,False
10,41,False
10,181,True
10,179,False
10,233,False
10,27,False
10,365,False
10,366,False
10,368,False
10,32,True
10,350,False
10,351,False
10,352,False
10,35,False
10,0,False
