character,action,zeroindex
character,action,zeroindex
16,322,False
16,323,True
16,324,False
16,29,True
16,42,True
16,14,True
16,24,True
16,25,True
16,347,False
16,349,True
16,346,False
16,15,False
16,20,False
16,44,False
16,80,False
16,178,False
16,179,False
16,181,True
16,180,True
16,45,True
16,47,False
16,48,True
16,49,True
16,69,False
16,74,True
16,83,False
16,27,True
16,359,False
16,357,False
16,35,True
16,0,False
16,12,True
16,13,True
16,353,False
16,350,False
16,351,False
16,16,False
16,17,False
16,21,True
16,23,True
16,103,False
16,39,False
16,358,False
16,28,True
16,252,False
16,253,True
16,259,False
16,110,False
16,26,True
16,65,False
16,70,True
16,182,False
16,82,False
16,18,False
16,244,True
16,50,False
16,356,False
16,100,False
16,114,False
16,86,False
16,90,False
16,236,False
16,98,False
16,233,False
16,66,False
16,71,True
16,43,True
16,67,False
16,38,True
