character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,True
10,14,False
10,341,False
10,342,False
10,343,False
10,20,False
10,21,False
10,24,False
10,25,False
10,69,False
10,74,False
10,18,False
10,50,False
10,56,False
10,66,False
10,71,False
10,67,False
10,27,False
10,354,False
10,356,False
10,358,False
10,357,False
10,347,False
10,348,False
10,349,False
10,86,False
10,35,False
10,0,False
10,12,False
10,13,False
10,60,False
10,82,False
10,15,False
10,16,False
10,17,False
10,350,False
10,351,False
10,352,False
10,43,False
10,68,False
10,73,False
10,44,False
10,45,False
10,76,False
10,77,False
10,85,False
10,90,False
10,183,False
10,184,False
10,187,False
10,83,False
10,53,False
10,28,False
10,26,False
10,72,False
10,88,False
10,191,False
10,196,False
10,89,False
10,195,False
10,47,False
10,48,False
10,49,False
