character,action,zeroindex
8,322,False
8,323,True
8,324,False
8,29,True
8,42,True
8,56,False
8,14,True
8,89,False
8,86,False
8,27,True
8,65,False
8,85,False
8,66,False
8,71,True
8,178,False
8,233,False
8,20,False
8,50,False
8,18,False
8,15,False
8,349,False
8,90,False
8,252,False
8,253,True
8,262,False
8,263,False
8,264,True
8,180,True
8,24,True
8,25,True
8,43,True
8,179,False
8,234,False
8,226,False
8,227,True
8,242,True
8,236,False
8,88,False
8,38,True
8,354,False
8,84,False
8,91,False
8,35,True
8,0,False
8,12,True
8,13,True
8,28,True
8,67,False
8,72,True
8,39,False
8,244,True
8,69,False
8,74,True
8,80,False
8,40,True
8,41,True
8,257,False
8,351,False
8,357,False
8,358,True
8,235,False
8,60,False
8,239,True
8,259,False
8,21,True
8,65535,False
8,183,True
8,196,False
8,214,True
8,251,True
8,181,True
8,182,False
8,216,True
8,219,False
8,212,True
8,82,False
8,79,False
8,83,False
8,220,False
8,17,False
8,222,False
8,44,False
8,70,True
8,350,True
8,78,False
8,63,False
8,26,True
8,247,True
