character,action,zeroindex
1,322,False
1,323,True
1,324,False
1,29,True
1,42,True
1,15,False
1,24,True
1,43,True
1,27,True
1,69,False
1,20,False
1,25,True
1,65,False
1,16,False
1,85,False
1,178,False
1,179,False
1,236,False
1,14,True
1,18,False
1,70,True
1,74,True
1,44,False
1,212,False
1,64,False
1,56,False
1,213,False
1,216,True
1,221,False
1,68,False
1,73,True
1,40,True
1,41,False
1,66,False
1,71,True
1,60,False
1,90,False
1,191,True
1,192,False
1,194,True
1,77,False
1,26,True
1,67,False
1,88,False
1,38,True
1,345,False
1,183,True
1,86,False
1,346,False
1,80,False
1,17,False
1,252,False
1,253,True
1,256,False
1,21,True
1,35,True
1,233,False
1,181,True
1,220,False
1,343,False
1,28,True
1,234,False
1,348,False
1,39,False
1,244,True
1,180,True
1,344,False
1,23,True
1,87,False
1,1,False
1,12,True
1,72,True
1,350,False
1,349,False
1,79,False
1,219,False
1,199,True
1,83,False
1,53,False
1,89,False
1,2,False
1,13,True
1,182,False
1,217,True
1,218,True
1,50,False
