character,action,zeroindex
16,322,False
16,323,True
16,324,False
16,29,True
16,42,True
16,14,True
16,39,False
16,244,True
16,60,False
16,18,False
16,20,False
16,350,False
16,344,False
16,345,False
16,346,True
16,15,False
16,24,True
16,25,True
16,65,False
16,70,True
16,356,False
16,40,True
16,41,True
16,182,False
16,179,False
16,234,False
16,178,False
16,233,False
16,180,True
16,69,False
16,74,True
16,27,True
16,26,True
16,252,False
16,253,True
16,257,False
16,357,False
16,262,False
16,263,False
16,236,False
16,43,True
16,16,False
16,360,True
16,212,True
16,255,False
16,259,False
16,67,False
