character,action,zeroindex
2,322,False
2,323,True
2,324,False
2,29,True
2,42,True
2,18,False
2,24,True
2,26,True
2,236,False
2,43,True
2,14,True
2,16,False
2,15,False
2,69,False
2,178,False
2,181,True
2,179,False
2,25,True
2,65,False
2,70,True
2,86,False
2,212,True
2,39,False
2,244,True
2,27,True
2,180,True
2,17,False
2,53,False
2,355,False
2,35,True
2,234,False
2,44,False
2,64,False
2,20,False
2,66,False
2,68,False
2,233,False
2,343,False
2,347,True
2,351,False
2,346,True
2,67,False
2,74,True
2,226,False
2,227,True
2,241,False
2,90,False
2,85,False
2,41,True
2,72,True
2,80,False
2,40,True
2,79,False
2,357,False
2,28,True
2,71,True
2,342,False
2,341,False
2,252,False
2,253,True
2,21,True
2,88,False
2,38,True
2,199,True
2,213,False
2,216,True
2,221,False
2,56,False
2,349,False
2,350,True
2,353,True
2,4,True
2,12,True
2,13,True
2,356,False
2,0,False
2,251,True
2,83,False
2,76,False
2,60,False
2,222,False
2,235,False
2,358,False
2,220,False
2,87,False
2,191,True
2,193,False
2,262,False
2,263,False
2,254,False
2,256,False
