character,action,zeroindex
character,action,zeroindex
16,322,False
16,323,True
16,324,False
16,29,True
16,42,True
16,14,True
16,15,False
16,20,False
16,16,False
16,178,False
16,179,False
16,233,False
16,234,False
16,180,True
16,82,False
16,39,False
16,44,False
16,40,True
16,41,True
16,17,False
16,57,False
16,24,True
16,25,True
16,65,False
16,64,False
16,205,False
16,207,True
16,209,True
16,211,True
16,79,False
16,18,False
16,45,True
16,46,True
16,56,False
16,60,False
16,21,True
16,23,True
16,236,False
16,43,True
16,26,True
16,27,True
16,32,True
16,28,True
16,357,False
16,252,False
16,253,True
16,262,False
16,263,False
16,255,False
16,35,True
16,244,True
16,182,False
16,344,False
16,346,True
16,69,False
16,74,True
16,66,False
16,71,True
16,85,False
