character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,False
10,39,False
10,244,True
10,15,False
10,20,False
10,21,False
10,24,False
10,25,False
10,365,False
10,366,False
10,27,False
10,236,False
10,43,False
10,14,False
10,18,False
10,23,False
10,19,False
10,26,False
10,16,False
10,252,False
10,253,False
10,178,False
10,180,False
10,255,False
10,234,False
10,179,False
10,86,False
10,69,False
10,74,False
10,80,False
10,354,False
10,356,False
10,0,False
10,12,False
10,13,False
10,67,False
10,68,False
10,85,False
10,72,False
10,44,False
10,212,False
10,76,False
10,213,False
10,216,True
10,221,False
10,79,False
10,63,False
