character,action,frame,hitbox_1_status,hitbox_1_size,hitbox_1_x,hitbox_1_y,hitbox_2_status,hitbox_2_size,hitbox_2_x,hitbox_2_y,hitbox_3_status,hitbox_3_size,hitbox_3_x,hitbox_3_y,hitbox_4_status,hitbox_4_size,hitbox_4_x,hitbox_4_y,locomotion_x,locomotion_y,iasa,facing_changed,projectile
16,42,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,5.155179977416992,False,False,False
16,42,2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,42,3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,42,4,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,42,5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,42,6,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,42,7,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,42,8,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,42,9,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,27,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,2.0900001525878906,False,False,False
16,27,2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.8699989318847656,False,False,False
16,27,3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.7599983215332031,False,False,False
16,27,4,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.6500015258789062,False,False,False
16,27,5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.5399971008300781,False,False,False
16,27,6,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.4300003051757812,False,False,False
16,27,7,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.3199996948242188,False,False,False
16,27,8,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.2099990844726562,False,False,True
16,27,9,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,1.0999984741210938,False,False,False
16,27,10,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.9899978637695312,False,False,False
16,27,11,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.8799972534179688,False,False,False
16,27,12,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.7699966430664062,False,False,False
16,27,13,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.660003662109375,False,False,False
16,27,14,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.5500030517578125,False,False,False
16,27,15,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.44000244140625,False,False,False
16,27,16,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.3300018310546875,False,False,False
16,27,17,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.220001220703125,False,False,False
16,27,18,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.1100006103515625,False,False,False
16,27,19,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0.0,False,False,False
16,27,20,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,21,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,22,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,23,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,24,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,25,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,26,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,27,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,28,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,29,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,30,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,31,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,32,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,33,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,34,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,35,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,36,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,37,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,38,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,39,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,40,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,41,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,42,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,43,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,44,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,45,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,46,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,47,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,48,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,49,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,50,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,51,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,27,52,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0,0,False,False,False
16,53,1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.206695556640625,0.0,False,False,False
16,53,2,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.10669517517089844,0.0,False,False,False
16,53,3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0066967010498046875,0.0,False,False,False
16,53,4,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,6,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,7,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,8,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,9,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,10,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,11,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,12,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,13,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,14,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,15,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,0.0,0.0,False,False,False
16,53,16,True,4.296599864959717,-5.266412734985352,12.739128112792969,True,4.68720006942749,-2.549530029296875,14.103252410888672,True,2.7342000007629395,0.8977947235107422,14.926883697509766,True,1.9529999494552612,4.526132583618164,11.752029418945312,0.0,0.0,False,False,False
16,53,17,True,4.296599864959717,9.169301986694336,18.722801208496094,True,4.68720006942749,10.187292098999023,15.58475112915039,True,2.7342000007629395,10.624723434448242,11.73403549194336,True,1.9529999494552612,5.807001113891602,11.229637145996094,0.0,0.0,False,False,False
16,53,18,True,4.296599864959717,18.396989822387695,3.040475845336914,True,4.68720006942749,15.151872634887695,3.802133560180664,True,2.7342000007629395,11.556459426879883,5.443717956542969,True,1.9529999494552612,6.901948928833008,10.297733306884766,0.0,0.0,False,False,False
