character,action,zeroindex
16,322,False
16,323,True
16,324,False
16,29,True
16,42,True
16,20,False
16,24,True
16,25,True
16,27,True
16,15,False
16,53,False
16,14,True
16,21,True
16,63,False
16,39,False
16,244,True
16,67,False
16,72,True
16,226,False
16,227,True
16,228,True
16,239,False
16,86,False
16,60,False
16,341,False
16,178,False
16,179,False
16,180,True
16,65,False
16,16,False
16,17,False
16,350,False
16,70,True
16,80,False
16,182,False
16,234,False
16,23,True
16,26,True
16,18,False
16,50,False
16,233,False
16,83,False
16,356,False
16,79,False
16,88,False
16,191,True
16,41,True
16,235,False
16,212,True
