character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,True
10,14,False
10,341,False
10,342,False
10,343,False
10,15,False
10,16,False
10,24,False
10,25,False
10,85,False
10,182,False
10,179,False
10,234,False
10,90,False
10,191,False
10,192,False
10,197,False
10,17,False
10,67,False
10,72,False
10,212,False
10,213,False
10,216,True
10,218,True
10,233,False
10,20,False
10,21,False
10,214,False
10,65535,False
10,219,False
10,79,False
10,78,False
10,75,False
10,178,False
10,181,True
10,23,False
10,66,False
10,76,False
10,82,False
10,180,False
10,27,False
10,69,False
10,74,False
10,245,False
10,183,False
10,184,False
10,187,False
10,18,False
10,44,False
10,63,False
10,65,False
10,70,False
10,28,False
10,39,False
10,40,False
10,41,False
10,87,False
10,38,False
10,344,False
10,345,False
10,244,True
10,50,False
10,347,False
10,348,False
10,349,False
10,351,False
10,352,False
10,35,False
10,0,False
10,12,False
10,68,False
10,56,False
10,83,False
10,86,False
10,226,False
10,223,False
10,241,False
10,353,False
10,356,False
10,359,False
10,43,False
10,239,False
10,26,False
10,350,False
10,32,True
10,77,False
10,60,False
10,221,True
10,354,False
10,358,False
