character,action,zeroindex
9,322,False
9,323,False
9,324,False
9,29,False
9,42,False
9,14,False
9,39,False
9,244,True
9,40,False
9,41,False
9,24,False
9,43,False
9,26,False
9,236,False
9,18,False
9,25,False
9,27,False
9,69,False
9,74,False
9,360,False
9,361,False
9,364,True
9,16,False
9,365,False
9,366,False
9,67,False
9,72,False
9,178,False
9,179,False
9,15,False
9,82,False
9,65,False
9,70,False
9,180,True
9,28,False
9,368,False
9,363,False
9,17,False
9,369,True
9,90,False
9,200,False
9,20,False
9,77,False
9,183,False
9,186,False
9,44,False
9,86,False
9,32,False
9,0,False
9,12,False
9,13,False
9,212,False
9,344,False
9,345,False
9,80,False
9,76,False
9,341,False
9,342,False
9,343,False
9,68,False
9,73,False
9,21,False
9,23,False
9,19,False
9,245,False
9,246,False
9,252,False
9,253,False
9,367,True
9,362,False
9,79,False
9,60,False
9,350,False
9,351,False
9,352,False
