character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,False
10,14,False
10,39,False
10,244,True
10,20,False
10,21,False
10,182,False
10,233,False
10,15,False
10,212,False
10,178,False
10,18,False
10,214,False
10,65535,False
10,216,True
10,219,False
10,50,False
10,80,False
10,27,False
10,67,False
10,354,False
10,356,False
10,358,False
10,35,False
10,0,False
10,12,False
10,13,False
10,234,False
10,16,False
10,17,False
10,213,False
10,218,True
10,222,False
10,57,False
10,88,False
10,183,False
10,186,False
10,24,False
10,25,False
10,66,False
10,71,False
10,235,False
